0.4680603,0
0.5554668,1
1.211487,2
1.97338,3
2.832793,4
3.14595,0
3.313349,3
3.969188,1
4.52514,4
5.355694,0
5.662039,1
6.395205,2
7.026355,0
7.316943,4
7.653448,2
8.393144,3
8.893331,1
9.753399,0
10.0645,1
10.84614,3
11.13119,2
11.65011,0
11.97816,4
12.34173,1
13.26079,0
14.13449,3
14.38982,2
15.14448,0
15.69236,1
16.03131,0
16.53563,2
17.42248,0
18.14057,1
18.14057,2
20.74539,3
23.69747,0
27.07554,2
31.24254,1
33.9498,3
39.40609,4
44.37316,2
52.16043,0
55.61387,1
63.12092,3
66.45093,4
70.97555,0
74.59085,2
77.22765,1
82.69181,3
88.04372,4
95.92374,2
99.69417,0
107.1639,1
110.3391,3
114.8204,0
117.0659,2
121.1402,3
126.3634,4
131.7724,0
139.6899,2
