0.4485321,2
0.7274048,0
1.116914,2
1.496616,2
1.851147,3
2.076787,4
2.371226,0
2.930898,2
3.874728,1
4.011716,2
4.263087,0
4.453782,4
4.683351,2
5.214868,3
5.841186,4
6.245495,2
6.48876,3
6.763277,4
6.986507,2
7.579364,0
7.870743,1
8.07727,2
8.433005,4
8.667885,3
9.290046,2
9.833056,0
10.12976,1
10.46045,3
10.5767,4
10.88106,2
11.11259,0
11.37942,0
11.60652,1
12.22061,2
13.05568,2
13.32236,0
13.66369,3
13.87108,1
14.27769,0
14.49398,2
15.27707,2
15.50679,0
15.88862,4
16.19368,1
16.74442,2
17.47357,0
17.66163,4
17.89295,3
17.93301,1
18.43145,2
20.27436,0
21.87351,3
22.39836,4
23.03744,2
24.21042,2
24.78388,1
25.29292,4
25.87556,2
26.42951,3
